MsgID.GLOBAL_POSITION,1520579988.4858212,-121.9939363,37.4137417,0.2050000
MsgID.LOCAL_VELOCITY,1520579988.4858212,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520579988.4858212,0.1097666,0.0131316,-0.2051670
MsgID.LOCAL_VELOCITY,1520579988.4858212,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520579988.4858212,-121.9939365,37.4137416,0.2070000
MsgID.LOCAL_VELOCITY,1520579988.4858212,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520579988.4858212,0.0996191,0.0000000,-0.2078184
MsgID.LOCAL_VELOCITY,1520579988.4858212,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520579988.4863222,-121.9939361,37.4137396,0.2180000
MsgID.LOCAL_VELOCITY,1520579988.4863222,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520579988.4863222,-0.1151928,0.0282190,-0.2182963
MsgID.LOCAL_VELOCITY,1520579988.4863222,0.0000000,0.0000000,-0.0000000
MsgID.STATE,1520579988.4868240,False,False
MsgID.GLOBAL_HOME,1520579988.4873252,-121.9939365,37.4137407,0.0000000
MsgID.GLOBAL_POSITION,1520579988.4873252,-121.9939348,37.4137396,0.2340000
MsgID.LOCAL_VELOCITY,1520579988.4873252,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520579988.4878259,-0.1240533,0.1523332,-0.2347295
MsgID.LOCAL_VELOCITY,1520579988.4878259,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520579988.4878259,-121.9939361,37.4137390,0.2520000
MsgID.LOCAL_VELOCITY,1520579988.4878259,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,1520579988.4878259,-0.1829982,0.0339932,-0.2524021
MsgID.LOCAL_VELOCITY,1520579988.4878259,0.0000000,0.0000000,-0.0000000
MsgID.GLOBAL_POSITION,1520579988.4883280,-121.9939362,37.4137400,0.2650000
